Name,Rating,Neighborhood,City,Sortable_Review_Date,PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,PCA_Component_5,neg,neu,pos,compound,Hotel_UUID,UUID
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-07-01,2.1410742834181704,2.0322961418173255,1.349918350762125,-0.67506049102877,-0.07177050975246026,0.0,0.361,0.639,0.9805,bcab6eff-a2eb-4248-a938-d761e2835950,ce899e71-766e-46a1-a649-567303b268f6
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,1.3407243249380913,1.8405164534938483,-1.1592781957204077,-0.6023713737356053,-0.08450321000819992,0.0,0.24,0.76,0.969,bcab6eff-a2eb-4248-a938-d761e2835950,a3dac535-3a64-468e-8efe-96cf7a35a9cc
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,-1.0760398001691118,2.074255469795393,-0.40074720723723795,0.09450968892444091,-0.09960824027675393,0.0,0.674,0.326,0.4404,bcab6eff-a2eb-4248-a938-d761e2835950,53d17a9d-a2b6-4391-941b-859afe39b864
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,1.3407243249380913,1.840516453493854,-1.1592781957204161,-0.602371373735566,-0.08450321000819945,0.0,0.379,0.621,0.9623,bcab6eff-a2eb-4248-a938-d761e2835950,c55d10d4-a4d5-457f-ad42-8a12ae98f56c
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,6.7666696833949125,1.2457724910756123,-2.8540890818793967,-1.780791718618281,-0.1951804711959264,0.0,0.229,0.771,0.9892,bcab6eff-a2eb-4248-a938-d761e2835950,3a1d6f67-5d72-48cb-88f4-1b38add41aa0
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,4.540721778185952,1.794921629894021,0.5975384887466446,-1.3894977549357896,-0.07108637859028644,0.0,0.31,0.69,0.9851,bcab6eff-a2eb-4248-a938-d761e2835950,fb8516d3-3cdb-4232-ab83-e7f37247e185
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,3.6920238724368404,-0.6767035509837495,3.9465299369926785,1.3650281181233943,-0.7578575183361581,0.08,0.295,0.625,0.9719,bcab6eff-a2eb-4248-a938-d761e2835950,ed9fd567-9831-4c41-a251-4bfb98ffc523
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,3.7233011862003855,-1.5069410656523459,-1.526878982488886,4.527394205299629,-1.3993917878061226,0.0,0.263,0.737,0.9869,bcab6eff-a2eb-4248-a938-d761e2835950,5f3d3f9a-5c35-4734-bf5b-772b4d72ada3
Hotel The Pearl,9.0,Paharganj, New Delhi,2023-08-01,2.1888354104881307,-1.2932022818979727,-1.0854575597798448,1.9473050170101704,1.8401719896889521,0.0,0.338,0.662,0.9852,bcab6eff-a2eb-4248-a938-d761e2835950,06597090-9281-4a9c-94bb-d3efb14cc592
Hotel The Pearl,8.0,Paharganj, New Delhi,2023-08-01,2.0910812907383782,-1.0477107228192872,-1.0898061464631565,1.4948839551701187,-0.7507497214620875,0.0,0.38,0.62,0.9617,bcab6eff-a2eb-4248-a938-d761e2835950,44b81023-9311-4b87-af4a-c5c903adea4f
